movieId,popularity
356,329
318,317
296,307
593,279
2571,278
260,251
480,238
110,237
589,224
527,220
2959,218
1,215
1196,211
2858,204
50,204
47,203
780,202
150,201
1198,200
4993,198
1210,196
858,192
457,190
592,189
5952,188
2028,188
7153,185
588,183
608,181
2762,179
380,178
32,177
364,172
377,171
1270,171
3578,170
4306,170
1580,165
590,164
648,162
344,161
4226,159
367,157
6539,149
58559,149
595,146
1214,146
1036,145
500,144
165,144
1265,143
79132,143
1197,142
1704,141
6377,141
316,140
1721,140
1291,140
2628,140
153,137
1136,136
597,135
1193,133
293,133
231,133
3793,133
10,132
4886,132
1089,131
7361,131
6874,131
1240,131
2329,129
1221,129
34,128
1200,126
1213,126
8961,125
1682,125
541,124
736,123
4995,123
5349,122
1097,122
733,121
2683,121
1206,120
2716,120
4973,120
5445,120
1073,119
4963,119
1527,116
33794,116
586,116
587,115
208,115
5989,115
1968,113
5418,112
185,112
3147,111
349,110
3996,110
2,110
7438,110
4878,109
924,109
2918,109
253,109
1258,109
2115,108
329,108
48516,107
4896,107
1208,107
1732,106
539,106
68954,105
1923,105
223,104
111,104
39,104
60069,104
357,103
161,103
2706,103
778,102
5816,102
1222,102
6,102
292,101
454,101
434,101
912,100
1517,100
44191,100
4022,100
2997,99
104,99
339,98
1617,97
3114,97
750,97
72998,97
2987,97
1961,96
1784,96
6365,96
3949,96
2502,94
59315,94
4027,94
551,93
8368,93
4011,93
2355,92
288,92
919,92
5378,92
8360,92
2396,92
1917,92
1356,91
2797,91
3948,91
2174,91
1387,91
1259,91
48780,90
1610,90
1080,89
21,89
2916,88
2324,88
68157,88
2012,88
19,88
2011,87
2791,87
5618,87
2617,87
141,86
1653,86
1391,86
1246,86
5218,85
1393,85
1307,85
904,84
95,84
32587,84
1220,84
410,84
1101,83
1219,83
3897,83
788,82
16,82
1584,82
317,81
48394,81
54286,81
300,81
442,81
49272,81
1676,80
62,80
51662,80
2291,80
3052,79
1247,79
8636,79
6934,79
3751,78
33493,78
8874,77
1625,77
337,77
1573,77
594,77
3623,77
46578,77
6333,76
25,76
440,76
1225,76
91529,76
69122,76
2700,76
2692,75
3481,75
2000,75
6016,75
3175,75
8665,75
368,74
35836,74
6711,74
1485,74
109487,73
3994,73
3977,72
1201,72
50872,72
45722,72
63082,71
1028,71
99114,71
40815,71
1079,71
6373,71
2985,70
474,70
1407,70
11,70
4034,70
235,70
3408,70
520,69
7147,69
89745,69
923,69
1278,69
48,68
3753,68
4979,68
266,68
2054,68
1380,68
1370,68
4262,67
2542,67
17,67
2353,67
36,67
2081,67
1544,67
74458,67
1288,66
163,66
6863,66
508,66
653,65
555,65
70286,65
4246,65
5481,65
553,65
56367,65
2194,65
48385,65
1234,64
786,64
55820,64
1035,64
4025,64
1954,64
48774,64
4447,64
2710,64
353,64
5502,63
435,63
2657,63
1090,63
1374,62
41566,62
56174,62
3081,62
158,62
3421,62
1304,62
3671,62
7143,62
173,62
1127,62
51255,61
3717,61
5459,61
3527,61
30793,61
2321,61
8644,61
509,61
3253,61
2640,61
552,61
596,60
466,60
903,60
3471,60
5299,60
1377,60
2006,60
6378,59
1199,59
1500,59
68358,59
2302,59
1252,59
6942,59
1552,59
420,59
112852,59
3535,59
3033,59
33679,59
1230,58
1608,58
1207,58
5669,58
370,58
69844,58
81845,58
34162,58
54001,58
2167,58
1394,58
708,58
6502,58
953,58
73017,58
2268,57
1276,57
160,57
80463,57
2470,57
2005,57
1203,57
908,57
350,57
8641,57
2599,56
1777,56
53125,56
2395,56
2671,56
2529,56
1641,56
4370,56
1148,56
1302,56
70,55
5956,55
54503,55
2080,55
2804,55
4308,55
432,55
4720,55
78499,55
168,54
2572,54
4018,54
784,54
122904,54
106782,54
2406,54
4816,54
91500,54
7,54
59784,54
3911,53
76093,53
2078,53
2712,53
673,53
485,53
2947,53
3489,53
71535,53
