movieId,title,popularity,datasetpopularity
1,Toy Story (1995),1052911,215.0
2,Jumanji (1995),370897,110.0
3,Grumpier Old Men (1995),29401,52.0
4,Waiting to Exhale (1995),11925,7.0
5,Father of the Bride Part II (1995),41120,49.0
6,Heat (1995),706397,102.0
7,Sabrina (1995),43916,54.0
8,Tom and Huck (1995),11515,8.0
9,Sudden Death (1995),36632,16.0
10,GoldenEye (1995),268027,132.0
11,"American President, The (1995)",60080,70.0
12,Dracula: Dead and Loving It (1995),44682,19.0
13,Balto (1995),47456,8.0
14,Nixon (1995),32445,18.0
15,Cutthroat Island (1995),30121,13.0
16,Casino (1995),554915,82.0
17,Sense and Sensibility (1995),123694,67.0
18,Four Rooms (1995),109986,20.0
19,Ace Ventura: When Nature Calls (1995),230551,88.0
20,Money Train (1995),42764,15.0
21,Get Shorty (1995),88015,89.0
22,Copycat (1995),64759,36.0
23,Assassins (1995),87436,16.0
24,Powder (1995),32237,28.0
25,Leaving Las Vegas (1995),132599,76.0
26,Othello (1995),10076,13.0
27,Now and Then (1995),32062,9.0
28,Persuasion (1995),11374,11.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",71124,38.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),5962,3.0
31,Dangerous Minds (1995),56362,38.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),640729,177.0
34,Babe (1995),132604,128.0
36,Dead Man Walking (1995),100592,67.0
38,It Takes Two (1995),24496,4.0
39,Clueless (1995),240225,104.0
40,"Cry, the Beloved Country (1995)",2010,2.0
41,Richard III (1995),15420,15.0
42,Dead Presidents (1995),24140,7.0
43,Restoration (1995),9831,8.0
44,Mortal Kombat (1995),123567,46.0
45,To Die For (1995),51870,32.0
46,How to Make an American Quilt (1995),12404,15.0
47,Seven (a.k.a. Se7en) (1995),1765438,203.0
48,Pocahontas (1995),200282,68.0
49,When Night Is Falling (1995),7368,1.0
50,"Usual Suspects, The (1995)",1132119,204.0
52,Mighty Aphrodite (1995),42362,28.0
53,Lamerica (1994),2363,2.0
54,"Big Green, The (1995)",10830,3.0
55,Georgia (1995),3301,1.0
57,Home for the Holidays (1995),14455,8.0
58,"Postman, The (Postino, Il) (1994)",38615,37.0
60,"Indian in the Cupboard, The (1995)",30731,34.0
61,Eye for an Eye (1996),18657,6.0
62,Mr. Holland's Opus (1995),41336,80.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),60538,7.0
64,Two if by Sea (1996),6278,5.0
65,Bio-Dome (1996),29237,31.0
66,Lawnmower Man 2: Beyond Cyberspace (1996),10193,9.0
68,French Twist (Gazon maudit) (1995),5312,5.0
69,Friday (1995),122679,20.0
70,From Dusk Till Dawn (1996),335488,55.0
71,Fair Game (1995),13686,5.0
72,Kicking and Screaming (1995),14871,7.0
73,"Misérables, Les (1995)",3970,13.0
74,Bed of Roses (1996),8699,8.0
75,Big Bully (1996),5504,5.0
76,Screamers (1995),29099,15.0
77,Nico Icon (1995),744,1.0
78,"Crossing Guard, The (1995)",14263,3.0
79,"Juror, The (1996)",19777,17.0
80,"White Balloon, The (Badkonake sefid) (1995)",8143,2.0
81,Things to Do in Denver When You're Dead (1995),29450,14.0
82,Antonia's Line (Antonia) (1995),9382,8.0
83,Once Upon a Time... When We Were Colored (1995),559,1.0
