movieId,title,popularity
1,Toy Story (1995),1052911
2,Jumanji (1995),370897
3,Grumpier Old Men (1995),29401
4,Waiting to Exhale (1995),11925
5,Father of the Bride Part II (1995),41120
6,Heat (1995),706397
7,Sabrina (1995),43916
8,Tom and Huck (1995),11515
9,Sudden Death (1995),36632
10,GoldenEye (1995),268027
11,"American President, The (1995)",60080
12,Dracula: Dead and Loving It (1995),44682
13,Balto (1995),47456
14,Nixon (1995),32445
15,Cutthroat Island (1995),30121
16,Casino (1995),554915
17,Sense and Sensibility (1995),123694
18,Four Rooms (1995),109986
19,Ace Ventura: When Nature Calls (1995),230551
20,Money Train (1995),42764
21,Get Shorty (1995),88015
22,Copycat (1995),64759
23,Assassins (1995),87436
24,Powder (1995),32237
25,Leaving Las Vegas (1995),132599
26,Othello (1995),10076
27,Now and Then (1995),32062
28,Persuasion (1995),11374
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",71124
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),5962
31,Dangerous Minds (1995),56362
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),640729
34,Babe (1995),132604
36,Dead Man Walking (1995),100592
38,It Takes Two (1995),24496
39,Clueless (1995),240225
40,"Cry, the Beloved Country (1995)",2010
41,Richard III (1995),15420
42,Dead Presidents (1995),24140
43,Restoration (1995),9831
44,Mortal Kombat (1995),123567
45,To Die For (1995),51870
46,How to Make an American Quilt (1995),12404
47,Seven (a.k.a. Se7en) (1995),1765438
48,Pocahontas (1995),200282
49,When Night Is Falling (1995),7368
50,"Usual Suspects, The (1995)",1132119
52,Mighty Aphrodite (1995),42362
53,Lamerica (1994),2363
54,"Big Green, The (1995)",10830
55,Georgia (1995),3301
57,Home for the Holidays (1995),14455
58,"Postman, The (Postino, Il) (1994)",38615
60,"Indian in the Cupboard, The (1995)",30731
61,Eye for an Eye (1996),18657
62,Mr. Holland's Opus (1995),41336
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),60538
64,Two if by Sea (1996),6278
65,Bio-Dome (1996),29237
66,Lawnmower Man 2: Beyond Cyberspace (1996),10193
68,French Twist (Gazon maudit) (1995),5312
69,Friday (1995),122679
70,From Dusk Till Dawn (1996),335488
71,Fair Game (1995),13686
72,Kicking and Screaming (1995),14871
73,"Misérables, Les (1995)",3970
74,Bed of Roses (1996),8699
75,Big Bully (1996),5504
76,Screamers (1995),29099
77,Nico Icon (1995),744
78,"Crossing Guard, The (1995)",14263
79,"Juror, The (1996)",19777
80,"White Balloon, The (Badkonake sefid) (1995)",8143
81,Things to Do in Denver When You're Dead (1995),29450
82,Antonia's Line (Antonia) (1995),9382
83,Once Upon a Time... When We Were Colored (1995),559
85,Angels and Insects (1995),4811
86,White Squall (1996),25243
87,Dunston Checks In (1996),13284
88,Black Sheep (1996),43213
89,Nick of Time (1995),44773
92,Mary Reilly (1996),15705
93,Vampire in Brooklyn (1995),24875
94,Beautiful Girls (1996),34461
95,Broken Arrow (1996),104243
96,In the Bleak Midwinter (1995),2744
97,"Hate (Haine, La) (1995)",191699
99,Heidi Fleiss: Hollywood Madam (1995),834
100,City Hall (1996),22189
101,Bottle Rocket (1996),82704
102,Mr. Wrong (1996),5331
103,Unforgettable (1996),5905
104,Happy Gilmore (1996),243364
105,"Bridges of Madison County, The (1995)",87564
106,Nobody Loves Me (Keiner liebt mich) (1994),1235
107,Muppet Treasure Island (1996),26208
108,Catwalk (1996),367
110,Braveheart (1995),1079632
111,Taxi Driver (1976),903167
112,Rumble in the Bronx (Hont faan kui) (1995),45457
113,Before and After (1996),9838
116,Anne Frank Remembered (1995),1282
117,"Young Poisoner's Handbook, The (1995)",3784
118,If Lucy Fell (1996),4294
119,"Steal Big, Steal Little (1995)",1076
121,"Boys of St. Vincent, The (1992)",1935
122,Boomerang (1992),31029
123,Chungking Express (Chung Hing sam lam) (1994),93181
125,Flirting With Disaster (1996),19796
126,"NeverEnding Story III, The (1994)",12311
128,Jupiter's Wife (1994),249
129,Pie in the Sky (1996),887
132,Jade (1995),14005
135,Down Periscope (1996),26371
137,Man of the Year (1995),345
140,Up Close and Personal (1996),15203
141,"Birdcage, The (1996)",98554
144,"Brothers McMullen, The (1995)",8139
145,Bad Boys (1995),282228
146,"Amazing Panda Adventure, The (1995)",4382
147,"Basketball Diaries, The (1995)",119311
148,"Awfully Big Adventure, An (1995)",2983
149,Amateur (1994),6955
150,Apollo 13 (1995),310954
151,Rob Roy (1995),45074
152,"Addiction, The (1995)",11309
153,Batman Forever (1995),264223
154,Beauty of the Day (Belle de jour) (1967),48210
155,Beyond Rangoon (1995),5415
156,Blue in the Face (1995),10007
157,Canadian Bacon (1995),17828
158,Casper (1995),145506
159,Clockers (1995),23290
160,Congo (1995),48177
161,Crimson Tide (1995),121501
162,Crumb (1994),21376
163,Desperado (1995),195415
164,Devil in a Blue Dress (1995),23106
165,Die Hard: With a Vengeance (1995),404551
166,"Doom Generation, The (1995)",17598
168,First Knight (1995),77699
169,Free Willy 2: The Adventure Home (1995),19396
170,Hackers (1995),73700
171,Jeffrey (1995),6679
172,Johnny Mnemonic (1995),75556
173,Judge Dredd (1995),123748
174,Jury Duty (1995),8671
175,Kids (1995),83630
176,Living in Oblivion (1995),19865
177,Lord of Illusions (1995),19022
178,Love & Human Remains (1993),2802
179,Mad Love (1995),6923
180,Mallrats (1995),127797
181,Mighty Morphin Power Rangers: The Movie (1995),29666
183,Mute Witness (1994),6271
184,Nadja (1994),3422
185,"Net, The (1995)",72938
186,Nine Months (1995),38325
187,Party Girl (1995),6376
188,"Prophecy, The (1995)",32968
189,Reckless (1995),515
190,Safe (1995),16791
191,"Scarlet Letter, The (1995)",16147
193,Showgirls (1995),73231
194,Smoke (1995),37822
195,Something to Talk About (1995),15685
196,Species (1995),84374
198,Strange Days (1995),77398
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",30629
201,Three Wishes (1995),3235
202,Total Eclipse (1995),16609
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",35796
204,Under Siege 2: Dark Territory (1995),49616
205,Unstrung Heroes (1995),3252
206,Unzipped (1995),1181
207,"Walk in the Clouds, A (1995)",36179
208,Waterworld (1995),207265
209,White Man's Burden (1995),5142
210,Wild Bill (1995),7725
211,"Browning Version, The (1994)",3541
212,Bushwhacked (1995),6803
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),16171
214,Before the Rain (Pred dozhdot) (1994),15707
215,Before Sunrise (1995),333397
216,Billy Madison (1995),154379
217,"Babysitter, The (1995)",5940
218,Boys on the Side (1995),13952
219,"Cure, The (1995)",10513
220,Castle Freak (1995),10104
222,Circle of Friends (1995),9137
223,Clerks (1994),230566
224,Don Juan DeMarco (1995),52877
225,Disclosure (1994),53786
227,Drop Zone (1994),21396
228,Destiny Turns on the Radio (1995),2527
229,Death and the Maiden (1994),26425
230,Dolores Claiborne (1995),47663
231,Dumb & Dumber (Dumb and Dumber) (1994),406255
232,Eat Drink Man Woman (Yin shi nan nu) (1994),22859
233,Exotica (1994),20873
234,Exit to Eden (1994),7261
235,Ed Wood (1994),182635
236,French Kiss (1995),52452
237,Forget Paris (1995),12935
238,Far From Home: The Adventures of Yellow Dog (1995),3239
239,"Goofy Movie, A (1995)",61460
240,Hideaway (1995),7356
241,Fluke (1995),7359
242,Farinelli: il castrato (1994),7262
243,Gordy (1995),2068
246,Hoop Dreams (1994),27695
247,Heavenly Creatures (1994),66848
248,Houseguest (1994),7440
249,Immortal Beloved (1994),25994
250,Heavyweights (Heavy Weights) (1995),30230
251,"Hunted, The (1995)",5631
252,I.Q. (1994),26457
253,Interview with the Vampire: The Vampire Chronicles (1994),343114
254,Jefferson in Paris (1995),3172
255,"Jerky Boys, The (1995)",2772
256,Junior (1994),72306
257,Just Cause (1995),29130
258,"Kid in King Arthur's Court, A (1995)",6676
259,Kiss of Death (1995),20069
260,Star Wars: Episode IV - A New Hope (1977),1431031
261,Little Women (1994),62768
262,"Little Princess, A (1995)",36316
263,Ladybird Ladybird (1994),3774
265,Like Water for Chocolate (Como agua para chocolate) (1992),18682
266,Legends of the Fall (1994),179759
267,Major Payne (1995),38359
269,My Crazy Life (Mi vida loca) (1993),2376
270,Love Affair (1994),5052
271,Losing Isaiah (1995),6462
272,"Madness of King George, The (1994)",17986
273,Mary Shelley's Frankenstein (Frankenstein) (1994),58751
274,Man of the House (1995),10290
275,Mixed Nuts (1994),13406
276,Milk Money (1994),12941
277,Miracle on 34th Street (1994),43539
278,Miami Rhapsody (1995),3499
279,My Family (1995),4433
280,Murder in the First (1995),30203
281,Nobody's Fool (1994),22240
282,Nell (1994),30495
283,New Jersey Drive (1995),3412
284,New York Cop (Nyû Yôku no koppu) (1993),250
285,Beyond Bedlam (1993),538
287,Nina Takes a Lover (1994),726
288,Natural Born Killers (1994),248367
289,Only You (1994),25097
290,Once Were Warriors (1994),36406
291,Poison Ivy II (1996),6250
292,Outbreak (1995),136312
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1226666
294,"Perez Family, The (1995)",2424
295,"Pyromaniac's Love Story, A (1995)",1112
296,Pulp Fiction (1994),2180928
298,Pushing Hands (Tui shou) (1992),4719
299,Priest (1994),10917
300,Quiz Show (1994),72630
301,Picture Bride (Bijo photo) (1994),1182
302,"Queen Margot (Reine Margot, La) (1994)",18767
303,"Quick and the Dead, The (1995)",101316
304,Roommates (1995),1979
305,Ready to Wear (Pret-A-Porter) (1994),15780
306,Three Colors: Red (Trois couleurs: Rouge) (1994),108755
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),109039
308,Three Colors: White (Trzy kolory: Bialy) (1994),78522
310,Rent-a-Kid (1995),2141
311,Relative Fear (1994),371
312,Stuart Saves His Family (1995),2953
313,"Swan Princess, The (1994)",26783
314,"Secret of Roan Inish, The (1994)",9745
315,"Specialist, The (1994)",69198
316,Stargate (1994),202429
317,"Santa Clause, The (1994)",132476
318,"Shawshank Redemption, The (1994)",2842246
319,Shallow Grave (1994),65444
320,Suture (1993),2139
321,Strawberry and Chocolate (Fresa y chocolate) (1993),5964
322,Swimming with Sharks (1995),24892
324,"Sum of Us, The (1994)",5778
325,National Lampoon's Senior Trip (1995),6256
326,To Live (Huozhe) (1994),20126
327,Tank Girl (1995),34246
328,Tales from the Crypt Presents: Demon Knight (1995),26009
329,Star Trek: Generations (1994),86255
330,Tales from the Hood (1995),9409
331,Tom & Viv (1994),1823
332,Village of the Damned (1995),33895
333,Tommy Boy (1995),95739
334,Vanya on 42nd Street (1994),5099
335,Underneath (1995),3805
336,"Walking Dead, The (1995)",869
337,What's Eating Gilbert Grape (1993),251028
338,Virtuosity (1995),32003
339,While You Were Sleeping (1995),112380
340,"War, The (1994)",13420
341,Double Happiness (1994),1230
342,Muriel's Wedding (1994),41305
343,"Baby-Sitters Club, The (1995)",6124
344,Ace Ventura: Pet Detective (1994),320614
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",54085
346,Backbeat (1993),6495
347,Bitter Moon (1992),42007
348,Bullets Over Broadway (1994),41289
349,Clear and Present Danger (1994),106623
350,"Client, The (1994)",72701
351,"Corrina, Corrina (1994)",14029
352,Crooklyn (1994),11150
353,"Crow, The (1994)",196128
354,Cobb (1994),8054
355,"Flintstones, The (1994)",85025
356,Forrest Gump (1994),2215836
357,Four Weddings and a Funeral (1994),163467
358,Higher Learning (1995),21284
359,I Like It Like That (1994),1812
360,I Love Trouble (1994),12490
361,It Could Happen to You (1994),43283
362,"Jungle Book, The (1994)",18747
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",3031
364,"Lion King, The (1994)",1123681
365,Little Buddha (1993),17766
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",63377
367,"Mask, The (1994)",413132
368,Maverick (1994),117611
369,Mrs. Parker and the Vicious Circle (1994),4841
370,Naked Gun 33 1/3: The Final Insult (1994),110363
371,"Paper, The (1994)",14942
372,Reality Bites (1994),53043
373,Red Rock West (1992),24567
374,Richie Rich (1994),72868
376,"River Wild, The (1994)",49630
377,Speed (1994),386609
378,Speechless (1994),5380
379,Timecop (1994),63301
380,True Lies (1994),276944
381,When a Man Loves a Woman (1994),23335
382,Wolf (1994),59652
383,Wyatt Earp (1994),54238
384,Bad Company (1995),3316
385,"Man of No Importance, A (1994)",1173
386,S.F.W. (1994),5378
387,"Low Down Dirty Shame, A (1994)",7711
388,Boys Life (1995),533
389,"Colonel Chabert, Le (1994)",2057
390,Faster Pussycat! Kill! Kill! (1965),15960
391,Jason's Lyric (1994),4591
393,Street Fighter (1994),74596
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),21934
406,Federal Hill (1994),491
407,In the Mouth of Madness (1995),78015
408,8 Seconds (1994),5661
409,Above the Rim (1994),16881
410,Addams Family Values (1993),107968
412,"Age of Innocence, The (1993)",66517
413,Airheads (1994),55584
414,"Air Up There, The (1994)",9418
415,Another Stakeout (1993),15261
416,Bad Girls (1994),13370
417,Barcelona (1994),6571
